ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"118.172.128.50","elite","AS23969","TH","TOT Public Company Limited","191","TOT Public Company Limited","4145","socks4","5011","1","2023-09-30T02:01:59.745Z","51","2058","4053"
"38.127.172.128","elite","AS174","US","Cogent Communications","87","Torlandia Trading SRL","12697","socks4","4596","1","2023-09-30T02:01:59.645Z","100","4031","4037"
"80.232.253.108","elite","AS12578","LV","LATTELEKOM","89","Bridge Group","4153","socks4","5014","1","2023-09-30T02:01:59.651Z","100","4187","4188"
"43.153.55.205","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","153","Tencent Cloud Computing","443","socks5","5093","1","2023-09-30T02:01:59.644Z","81","3322","4084"
"187.115.160.253","elite","AS18881","BR","TELEFÔNICA BRASIL S.A","179","Global Village Telecom","3629","socks4","131","1","2023-09-30T02:01:59.642Z","57","2359","4139"
"78.186.98.171","elite","AS9121","TR","TurkTelecom","90","N/A","1080","socks4","4810","1","2023-09-30T02:01:56.342Z","91","3662","4024"
"45.196.148.52","elite","AS7018","US","AT&T Services, Inc.","85","AQUA Networks Limited","5432","socks4","4911","1","2023-09-30T02:01:56.288Z","98","3935","4009"
"134.255.228.209","elite","AS197071","ES","StorageBase-FFM","14","N/A","24317","socks4","4895","1","2023-09-30T02:01:56.243Z","100","4033","4034"
"185.233.202.110","elite","AS200740","NL","First Server Limited","80","Firstbyte Hosting","8088","socks4","3799","1","2023-09-30T02:01:56.375Z","99","4043","4087"
"50.47.75.221","elite","AS20055","US","Wholesail networks LLC","188","Ziply Fiber","5678","socks4","363","1","2023-09-30T02:01:56.242Z","98","4064","4155"
"88.198.165.115","elite","AS24940","DE","Hetzner","92","Astrid Stolper + André Malo GbR","48139","socks5","4699","1","2023-09-30T02:01:56.245Z","89","3540","3969"
"99.56.147.242","elite","AS7018","US","AT&T Services, Inc.","198","Private Customer - AT&T Internet Services","7018","socks4","215","1","2023-09-30T02:01:56.287Z","10","406","3978"
"103.194.89.173","elite","AS134319","IN","Elyzium Technologies Pvt. Ltd.","155","Elyzium Technologies Pvt. Ltd.","9898","socks4","5010","1","2023-09-30T02:01:56.246Z","98","4044","4128"
"89.237.32.193","elite","AS20485","RU","multi-origin SUTTK","66","N/A","51549","socks4","4297","1","2023-09-30T02:01:56.289Z","99","4119","4169"
"64.90.52.19","elite","AS26347","US","New Dream Network, LLC","186","New Dream Network, LLC","55552","socks4","4995","1","2023-09-30T02:01:56.376Z","100","4103","4105"
"45.196.150.46","elite","AS7018","US","AT&T Services, Inc.","82","AQUA Networks Limited","5432","socks4","5003","1","2023-09-30T02:01:52.243Z","98","4032","4101"
"103.47.216.19","elite","AS133692","IN","Fastnet Communication Pvt. Ltd","153","Fastnet Communication Pvt. Ltd.","4145","socks4","1304","1","2023-09-30T02:01:52.249Z","98","4083","4151"
"202.124.46.100","elite","AS9902","KH","NeocomISP Limited","205","NeocomISP Limited","4145","socks4","4906","1","2023-09-30T02:01:52.247Z","100","4140","4152"
"216.107.129.72","elite","AS61317","US","Colocation America Corporation","94","Ipxo LLC","10180","socks5","4812","1","2023-09-30T02:01:49.344Z","100","4044","4048"
"61.7.174.64","elite","AS131090","TH","CAT Telecom Public Company Limited","238","National Telecom Public Company Limited","4153","socks4","4586","1","2023-09-30T02:01:49.138Z","82","3278","3986"
"43.154.49.67","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","245","Tencent Cloud Computing","9999","socks5","5006","1","2023-09-30T02:01:49.136Z","99","3978","4003"
"165.225.110.77","elite","AS53813","JP","ZSCALER, INC.","281","Zscaler, Inc.","10605","socks4","4609","1","2023-09-30T02:01:49.140Z","94","3786","4015"
"36.89.129.213","elite","AS7713","ID","PT. Telekomunikasi Indonesia","212","Telekomunikasi Indonesia","5678","socks4","1101","2","2023-09-30T02:01:49.134Z","70","2845","4084"
"197.234.13.4","elite","AS36902","SC","Intelvision","194","Intelvision Ltd","4145","socks4","1093","1","2023-09-30T02:01:49.137Z","100","3970","3985"
"38.127.173.169","elite","AS174","US","Cogent Communications","92","Torlandia Trading SRL","42908","socks5","4711","1","2023-09-30T02:01:49.343Z","100","4027","4032"
"185.170.233.103","elite","AS206912","CY","Superdach LTD","69","Infra","47574","socks4","413","1","2023-09-30T02:01:49.051Z","100","4100","4108"
"198.27.68.108","elite","AS16276","CA","OVH SAS","86","OVH Hosting, Inc.","19934","socks5","4986","1","2023-09-30T02:01:49.049Z","100","4019","4022"
"46.214.153.223","elite","AS48161","RO","SC NextGen Communications SRL","97","SC NextGen Communications SRL","5678","socks4","1294","1","2023-09-30T02:01:49.141Z","100","4061","4075"
"72.194.234.87","elite","AS22773","US","Cox Communications Inc.","195","Cox Communications Inc.","5678","socks4","3905","1","2023-09-30T02:01:45.539Z","98","3931","4031"
"103.131.18.105","elite","AS138089","ID","PT Global Media Data Prima","195","N/A","1080","socks4","4908","1","2023-09-30T02:01:45.536Z","17","706","4091"
"210.4.194.196","elite","AS13445","US","Cisco Webex LLC","246","Webex Communications Inc","80","socks5","4703","82","2023-09-30T02:01:45.543Z","99","3976","4020"
"69.163.160.197","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","1645","socks4","5104","1","2023-09-30T02:01:45.545Z","100","4124","4125"
"173.212.206.86","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","55405","socks5","5100","1","2023-09-30T02:01:45.549Z","100","3983","3988"
"206.189.9.30","elite","AS14061","NL","DigitalOcean, LLC","94","DigitalOcean, LLC","42331","socks5","4198","86","2023-09-30T02:01:42.043Z","100","4034","4036"
"113.231.150.20","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","194","N/A","1080","socks4","5089","1","2023-09-30T02:01:42.042Z","64","2612","4062"
"177.125.206.40","elite","AS262346","BR","FP Telecomunicacoes Ltda","201","FP Telecomunicacoes Ltda","4145","socks4","5102","1","2023-09-30T02:01:41.586Z","83","3361","4053"
"103.140.205.133","elite","AS139282","BD","Novus Network","204","Md. Riduanul Kabir","1080","socks4","4600","1","2023-09-30T02:01:41.584Z","74","3034","4121"
"62.179.9.19","elite","AS6830","PL","UPC Poland","35","N/A","5678","socks5","4014","1","2023-09-30T02:01:41.583Z","100","4030","4038"
"103.35.108.145","elite","AS23991","BD","Ranks ITT","179","Ranks ITT Ltd.","4145","socks5","1593","1","2023-09-30T02:01:40.280Z","99","4074","4104"
"155.0.202.254","elite","AS37532","ZM","Zambia Research and Education Network","288","Zambia Research and Education Network","51327","socks4","4907","1","2023-09-30T02:01:40.282Z","89","3654","4123"
"188.255.244.53","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","93","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1999","1","2023-09-30T02:01:40.281Z","100","4003","4019"
"115.242.252.174","elite","AS55836","IN","Reliance Jio Infocomm Limited","138","Reliance Jio Infocomm Limited","4153","socks4","458","1","2023-09-30T02:01:38.446Z","80","3345","4158"
"182.253.166.170","elite","AS17451","ID","BIZNET","193","N/A","5678","socks4","4794","1","2023-09-30T02:01:38.445Z","98","4068","4151"
"45.15.170.94","elite","AS44477","US","Stark Industries Solutions LTD","98","Ithostline LTD","32768","socks4","5099","1","2023-09-30T02:01:38.541Z","94","3781","4027"
"88.20.124.158","elite","AS3352","ES","Telefonica de Espana SAU","32","RIMA (Red IP Multi Acceso)","4145","socks4","2598","1","2023-09-30T02:01:38.447Z","95","3910","4097"
"5.9.170.2","elite","AS24940","DE","Hetzner Online GmbH","26","Hetzner","30000","socks4","4990","1","2023-09-30T02:01:38.540Z","100","4060","4063"
"138.201.140.125","elite","AS24940","DE","Hetzner Online GmbH","99","Hetzner","15976","socks5","245","1","2023-09-30T02:01:38.440Z","100","4087","4087"
"203.22.223.12","elite","AS209242","CY","Cloudflare London, LLC","11","Lachtaristo Holdings Limited","80","socks4","4996","1","2023-09-30T02:01:34.942Z","100","4042","4042"
"81.91.157.134","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","97","N/A","5678","socks5","4399","1","2023-09-30T02:01:34.939Z","99","3990","4043"
"148.66.142.19","elite","AS26496","SG","GoDaddy.com, LLC","234","Godaddy.com","61481","socks5","4888","1","2023-09-30T02:01:34.941Z","100","4123","4131"
"146.120.160.148","elite","AS60754","UA","Dianet Ltd.","53","Dianet Ltd","5678","socks4","129","1","2023-09-30T02:01:34.936Z","97","4006","4134"
"103.79.35.124","elite","AS134331","IN","Smartlink Solutions Pvt. Ltd.","184","SIS","55267","socks4","4819","1","2023-09-30T02:01:34.945Z","46","1887","4141"
"114.99.13.48","elite","AS4134","CN","Chinanet","189","Chinanet AH","8004","socks4","2795","1","2023-09-30T02:01:34.946Z","55","2252","4059"
"178.18.248.104","elite","AS51167","DE","Contabo GmbH","14","Contabo GmbH","49153","socks4","4998","1","2023-09-30T02:01:31.050Z","100","4146","4153"
"80.26.55.178","elite","AS3352","ES","TDENET (Red de servicios IP)","30","N/A","3352","socks4","3997","1","2023-09-30T02:01:31.150Z","100","4059","4076"
"185.171.54.36","elite","AS44285","IR","Shahrad","192","N/A","4153","socks4","2200","1","2023-09-30T02:01:26.344Z","95","3919","4119"
"104.16.106.234","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4792","1","2023-09-30T02:01:26.340Z","100","4180","4181"
"195.201.147.185","elite","AS24940","DE","Hetzner Online GmbH","95","Hetzner","1080","socks4","5013","80","2023-09-30T02:01:26.342Z","100","4103","4122"
"143.110.240.94","elite","AS14061","IN","DigitalOcean, LLC","194","DigitalOcean, LLC","18093","socks4","2603","1","2023-09-30T02:01:26.432Z","99","4100","4139"
"103.79.96.205","elite","AS64308","ID","PT IndoDev Niaga Internet","195","PT IndoDev Niaga Internet","4153","socks4","5000","1","2023-09-30T02:01:25.091Z","100","4072","4080"
"95.217.201.196","elite","AS24940","FI","Hetzner Online GmbH","73","HETZNER-DC","10037","socks4","4801","1","2023-09-30T02:01:25.186Z","100","4144","4144"
"103.134.220.49","elite","AS138810","ID","PT GLOBAL MEDIA PRATAMA SOLUSINDO","195","N/A","8080","socks5","4998","1","2023-09-30T02:01:22.544Z","58","2354","4024"
"45.70.206.33","elite","AS267586","BR","Rafael Pierre Barbosa - Me","189","Rafael Pierre Barbosa - Me","4145","socks4","4701","1","2023-09-30T02:01:22.542Z","100","4111","4123"
"197.234.13.75","elite","AS36902","SC","Intelvision","168","Intelvision Ltd","4145","socks4","5000","1","2023-09-30T02:01:22.541Z","100","4043","4055"
"182.253.159.115","elite","AS17451","ID","BIZNET","290","N/A","5678","socks4","3990","1","2023-09-30T02:01:22.537Z","90","3648","4063"
"177.38.5.224","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","209","FÁBIO MENDES DIAS LTDA ME","4153","socks4","2504","1","2023-09-30T02:01:22.535Z","87","3525","4056"
"100.36.158.82","elite","AS701","US","Verizon Communications","88","MCI Communications Services, Inc. d/b/a Verizon Business","8888","socks5","5002","1","2023-09-30T02:01:22.538Z","100","4138","4140"
"182.52.70.117","elite","AS23969","TH","TOT Public Company Limited","183","TOT Public Company Limited","4145","socks4","4999","1","2023-09-30T02:01:22.540Z","100","4084","4095"
"185.47.48.109","elite","AS48359","IR","Hesabgar Pardaz Gharb PJSC","111","Hesabgar T","1025","socks4","700","1","2023-09-30T02:01:22.539Z","99","4039","4074"
"202.159.35.201","elite","AS9340","ID","PT IndoInternet","186","N/A","443","socks4","4213","1","2023-09-30T02:01:18.445Z","100","4089","4098"
"87.255.13.217","elite","AS35810","RU","BIG TELECOM CLOSED JSC","90","N/A","8080","socks4","4400","1","2023-09-30T02:01:18.446Z","100","4149","4160"
"203.24.109.80","elite","AS209242","BZ","Cloudflare London, LLC","11","Umpire Associates LTD","80","socks5","2099","2","2023-09-30T02:01:18.440Z","100","4058","4058"
"177.38.5.134","elite","AS52964","BR","F?BIO MENDES DIAS LTDA ME","209","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4991","1","2023-09-30T02:01:14.245Z","97","3921","4044"
"202.129.52.172","elite","AS9931","TH","CAT Telecom Public Company Limited","184","CAT Northeast","4153","socks4","4602","1","2023-09-30T02:01:14.242Z","48","1987","4130"
"51.210.249.202","elite","AS16276","FR","OVH SAS","6","OVH","29439","socks4","792","2","2023-09-30T02:01:14.340Z","100","4070","4075"
"81.184.13.123","elite","AS6739","ES","Ono","39","AUNA - CTC, Internet de Banda Ampla, CableModem","80","socks4","4893","1","2023-09-30T02:01:14.240Z","100","4087","4103"
"167.99.201.165","elite","AS14061","GB","DigitalOcean, LLC","96","DigitalOcean, LLC","15956","socks5","804","1","2023-09-30T02:01:14.434Z","60","2431","4029"
"173.236.184.128","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","10654","socks4","1090","1","2023-09-30T02:01:14.243Z","100","3980","3988"
"45.4.85.150","elite","AS262234","HN","Asociacion De Servicio De Internet S. De RL","126","CIBERNET S. de RL de CV","5678","socks4","4709","1","2023-09-30T02:01:10.246Z","100","4108","4116"
"109.125.128.71","elite","AS49100","IR","PTS-Network","183","N/A","5678","socks4","3205","80","2023-09-30T02:01:10.082Z","77","3158","4108"
"201.65.121.66","elite","AS4230","BR","Claro S.A.","234","Claro S.A","4145","socks4","5390","1","2023-09-30T02:01:10.080Z","93","3855","4152"
"157.245.206.70","elite","AS14061","SG","DigitalOcean, LLC","185","DigitalOcean, LLC","10802","socks5","2891","2","2023-09-30T02:01:10.083Z","94","3730","3987"
"103.136.127.140","elite","AS48024","SG","Nerocloud LTD","157","Internet Keeper Global (Singapore) Pte Ltd","40000","socks5","4998","1","2023-09-30T02:01:10.082Z","82","3405","4134"
"178.141.249.246","elite","AS8359","RU","MTS PJSC","94","MTS KRV ETH","8081","socks5","2602","1","2023-09-30T02:01:10.348Z","99","4001","4025"
"110.76.129.30","elite","AS59362","BD","KS Network Limited","192","N/A","5678","socks4","3906","1","2023-09-30T02:01:10.248Z","99","4108","4151"
"103.214.112.86","elite","AS136052","ID","PT Cloud Hosting Indonesia","288","PT Denbe Anugerah Solusindo","32323","socks5","5007","1","2023-09-30T02:01:10.080Z","47","1916","4064"
"51.91.151.47","elite","AS16276","FR","OVH SAS","8","OVH","53341","socks5","4897","1","2023-09-30T02:01:10.082Z","100","4115","4115"
"187.155.218.135","elite","AS8151","MX","Uninet S.A. de C.V.","143","Uninet S.A. de C.V.","8081","socks5","5110","1","2023-09-30T02:01:10.250Z","90","3743","4142"
"101.109.19.13","elite","AS23969","TH","TOT Public Company Limited","186","TOT Public Company Limited","8080","socks5","5000","1","2023-09-30T02:01:10.334Z","29","1154","4014"
"103.102.136.69","elite","AS137029","BD","Chittagong multi channel limited","200","Nizam Uddin Mazud","5678","socks4","2811","1","2023-09-30T02:01:10.245Z","98","3879","3942"
"186.94.94.31","elite","AS8048","VE","CANTV Servicios, Venezuela","206","CANTV Servicios, Venezuela","9064","socks4","505","83","2023-09-30T02:01:08.688Z","10","413","4131"
"203.24.102.178","elite","AS209242","VG","Cloudflare London, LLC","15","Anaga Consulting Limited","80","socks4","4804","1","2023-09-30T02:01:08.689Z","100","4037","4037"
"197.234.13.6","elite","AS36902","SC","Intelvision","190","Intelvision Ltd","4145","socks4","5193","2","2023-09-30T02:01:08.686Z","100","4040","4054"
"95.182.121.73","elite","AS202984","RU","Chernyshov Aleksandr Aleksandrovich","49","Ildar Gilmutdinov PE","62134","socks5","4090","1","2023-09-30T02:01:06.448Z","20","802","4032"
"31.204.28.96","elite","AS209372","US","SIA \"Singularity Telecom\"","92","Popov Andry Vasilievich","5432","socks5","5001","1","2023-09-30T02:01:06.439Z","100","4080","4094"
"190.103.29.101","elite","AS264628","VE","CORPORACION FIBEX TELECOM, C.A.","182","N/A","4145","socks4","5004","1","2023-09-30T02:01:06.435Z","97","4041","4156"
"112.194.89.99","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","277","N/A","44313","socks5","4801","1","2023-09-30T02:01:06.434Z","66","2686","4068"
"135.181.140.215","elite","AS24940","FI","Hetzner Online GmbH","93","Hetzner","43491","socks4","5005","1","2023-09-30T02:01:02.735Z","99","4163","4186"
"180.183.158.136","elite","AS45629","TH","Triple T Broadband Public Company Limited","190","Triple T Broadband Public Company Limited","5678","socks4","4511","1","2023-09-30T02:01:02.638Z","97","4020","4150"
"80.235.239.130","elite","AS5089","GB","TalkTalk","28","Pccw Global Networks  UK  PLC","1080","socks4","5093","1","2023-09-30T02:01:02.734Z","96","3987","4149"
"61.247.180.182","elite","AS38031","BD","Optimax Communication Ltd.","198","OptiMax Communication Ltd","10800","socks4","4905","1","2023-09-30T02:01:02.633Z","100","4139","4157"
"58.220.69.212","elite","AS137697","CN","CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou, Jiangsu Province, P.","185","Chinanet JS","26589","socks5","4798","1","2023-09-30T02:01:02.642Z","84","3372","4003"
"167.249.254.70","elite","AS28408","MX","Gdlicanet, S.A. de C.V.","129","Gdlicanet, S.A. de C.V.","1080","socks4","1811","1","2023-09-30T02:01:02.641Z","100","4038","4050"
"172.67.3.108","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4985","1","2023-09-30T02:01:02.551Z","100","4039","4039"
"222.95.242.184","elite","AS4134","CN","Chinanet","200","Chinanet JS","23456","socks5","5090","1","2023-09-30T02:01:02.634Z","52","2108","4070"
"121.230.209.19","elite","AS4134","CN","Chinanet","199","Chinanet JS","3256","socks4","4897","1","2023-09-30T02:00:58.645Z","72","2935","4082"
"185.56.246.76","elite","AS41026","PL","KOPnet S.C. Marek Szczudlo Juliusz Kostrzewski","95","Kopnet","8291","socks4","4712","1","2023-09-30T02:00:58.642Z","99","4126","4172"
"107.174.121.140","elite","AS36352","US","ColoCrossing","192","RackNerd LLC","3128","socks4","4804","1","2023-09-30T02:00:58.742Z","70","2806","3984"
"178.253.208.146","elite","AS9125","RS","Orion Telekom users in Kraljevo","41","N/A","1080","socks4","5011","1","2023-09-30T02:00:58.646Z","99","3874","3894"
"51.89.16.111","elite","AS16276","GB","OVH SAS","11","OVH","49528","socks4","2089","1","2023-09-30T02:00:54.751Z","100","4024","4026"
"41.79.138.85","elite","AS37395","BW","Abari Communications","199","N/A","5678","socks4","3201","1","2023-09-30T02:00:54.736Z","96","3982","4134"
"103.95.97.186","elite","AS136759","BD","Cosmopolitan Communications Limited","198","Cosmopolitan Communications Limited","31244","socks4","5101","1","2023-09-30T02:00:54.650Z","98","4048","4127"
"143.255.249.74","elite","AS61468","EC","CEDIA","165","Universidad Tecnologica Israel","7497","socks5","4895","1","2023-09-30T02:00:54.649Z","95","3885","4083"
"111.199.70.169","elite","AS4808","CN","China Unicom Beijing Province Network","179","N/A","1080","socks5","164","1","2023-09-30T02:00:54.736Z","70","2881","4108"
"115.226.236.58","elite","AS4134","CN","Chinanet","294","N/A","3000","socks4","4399","1","2023-09-30T02:00:54.734Z","19","779","4089"
"104.18.65.115","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","2105","socks4","5092","1","2023-09-30T02:00:54.737Z","100","4083","4083"
"91.233.75.141","elite","AS57592","PL","Syrion Sp. z o.o.","63","Syrion Sp. z o.o","5678","socks4","3106","1","2023-09-30T02:00:53.491Z","97","3935","4066"
"94.130.184.102","elite","AS24940","DE","Hetzner Online GmbH","21","Hetzner","10015","socks5","4197","1","2023-09-30T02:00:53.584Z","95","3824","4027"
"31.223.22.21","elite","AS12735","TR","TurkNet Iletisim Hizmetleri A.S.","64","TurkNet Iletisim Hizmetleri","1080","socks4","4790","1","2023-09-30T02:00:53.490Z","99","4040","4087"
"197.234.13.88","elite","AS36902","SC","Intelvision","198","Intelvision Ltd","4145","socks4","5190","1","2023-09-30T02:00:53.487Z","100","4059","4079"
"175.173.221.229","elite","AS4837","CN","China Unicom Liaoning Province Network","196","N/A","28643","socks4","4514","1","2023-09-30T02:00:50.739Z","60","2376","3949"
"8.42.68.109","elite","AS399869","US","Mountain Broadband","118","Level 3, LLC","39593","socks4","5096","1","2023-09-30T02:00:50.650Z","100","4084","4088"
"197.234.13.16","elite","AS36902","SC","Intelvision","200","Intelvision Ltd","4145","socks4","5093","1","2023-09-30T02:00:50.738Z","100","4060","4072"
"119.81.194.52","elite","AS36351","SG","SoftLayer","200","Long Tech Network Limited","12315","socks4","3501","1","2023-09-30T02:00:50.733Z","100","4069","4070"
"186.201.31.189","elite","AS10429","BR","Vivo","284","TELEF�NICA BRASIL S.A","4145","socks4","5090","1","2023-09-30T02:00:50.734Z","98","4019","4102"
"208.113.153.30","elite","AS26347","US","New Dream Network, LLC","80","New Dream Network, LLC","46293","socks5","4799","1","2023-09-30T02:00:46.651Z","100","4104","4109"
"31.129.84.15","elite","AS51069","UA","Dnepronet Ltd.","53","Dnepronet Ltd","5678","socks4","4710","1","2023-09-30T02:00:46.648Z","93","3816","4089"
"185.200.38.235","elite","AS202561","TR","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.","68","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti","10820","socks5","4910","1","2023-09-30T02:00:46.748Z","54","2226","4128"
"103.47.93.196","elite","AS134058","IN","Broban Internet Services Pvt.ltd","167","Broban  PVT Ltd.","1080","socks4","272","1","2023-09-30T02:00:46.647Z","99","4149","4177"
"176.103.51.24","elite","AS48031","UA","Ivanov Vitaliy Sergeevich","51","XServer","30421","socks5","4711","1","2023-09-30T02:00:42.148Z","72","2992","4173"
"38.127.173.99","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","11537","socks5","708","1","2023-09-30T02:00:42.335Z","100","4014","4022"
"45.79.230.234","elite","AS63949","US","Akamai Technologies, Inc.","188","Linode","443","socks4","5017","1","2023-09-30T02:00:42.147Z","100","4110","4115"
"91.192.24.97","elite","AS200100","IT","T&T Tecnologie e Telecomunicazioni Srl","92","MT Mechanical Trading S.R.L","4153","socks4","2200","1","2023-09-30T02:00:42.139Z","87","3466","4000"
"198.251.79.65","elite","AS8560","US","IONOS SE","108","IONOS Inc","3128","socks4","5002","82","2023-09-30T02:00:42.145Z","100","4149","4149"
"103.228.246.129","elite","AS59282","ID","PT Giga Patra Multimedia","182","GPM Lampungtimur Area","5678","socks4","4794","1","2023-09-30T02:00:42.136Z","98","4036","4120"
"154.19.185.66","elite","AS149042","US","SICLOUD INFORMATION TECHNOLOGY (HONGKONG) CO., LIMITED","144","SICLOUD INFORMATION TECHNOLOGY (HONGKONG) CO., LIMITED","18825","socks5","5101","1","2023-09-30T02:00:38.686Z","96","3901","4065"
"165.22.58.191","elite","AS14061","SG","DigitalOcean, LLC","198","DigitalOcean, LLC","42311","socks5","4800","1","2023-09-30T02:00:37.194Z","94","3892","4157"
"103.121.62.133","elite","AS138146","BD","North Bengal Online","193","North Bengal Online","5678","socks4","510","2","2023-09-30T02:00:37.279Z","99","4085","4126"
"190.0.22.34","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","186","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","4888","1","2023-09-30T02:00:37.276Z","99","4083","4126"
"31.170.17.141","elite","AS42099","LV","DNET ITRisinajumi Ltd.","45","Sia Nano IT","4153","socks4","5090","1","2023-09-30T02:00:37.278Z","100","4147","4157"
"43.130.199.69","elite","AS132203","CA","Shenzhen Tencent Computer Systems Company Limited","94","Tencent Cloud Computing","443","socks5","4899","1","2023-09-30T02:00:37.279Z","85","3469","4101"
"124.121.95.244","elite","AS17552","TH","TRUEBB","175","N/A","8080","socks4","795","1","2023-09-30T02:00:37.640Z","64","2561","3991"
"110.78.146.161","elite","AS131090","TH","CAT-BB","253","N/A","4145","socks4","4812","1","2023-09-30T02:00:37.193Z","88","3528","4006"
"104.16.105.146","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5102","1","2023-09-30T02:00:37.644Z","100","3993","3993"
"131.221.43.82","elite","AS262186","CO","TV AZTECA SUCURSAL COLOMBIA","193","N/A","8080","socks4","4998","1","2023-09-30T02:00:37.639Z","99","3985","4027"
"103.47.94.34","elite","AS134058","IN","Broban Internet Services Pvt.ltd","174","Broban  PVT Ltd.","1080","socks4","4997","1","2023-09-30T02:00:34.035Z","99","4034","4063"
"161.35.125.167","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","7497","socks5","4999","1","2023-09-30T02:00:34.049Z","100","4170","4183"
"106.52.240.130","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","212","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks4","4908","1","2023-09-30T02:00:33.951Z","66","2688","4047"
"89.237.33.65","elite","AS20485","RU","multi-origin SUTTK","77","N/A","51549","socks4","5109","82","2023-09-30T02:00:33.948Z","99","4044","4085"
"138.36.151.11","elite","AS263729","AR","Pedraza Luis Eduardo","241","Pedraza Luis Eduardo","8090","socks5","5006","1","2023-09-30T02:00:33.945Z","100","4094","4112"
"23.225.129.132","elite","AS132839","US","POWER LINE (HK) CO., LIMITED","205","CloudRadium L.L.C","39877","socks4","5102","1","2023-09-30T02:00:30.233Z","99","4038","4093"
"128.65.176.170","elite","AS43754","IR","Asiatech Data Transmission company","144","Asiatech Data Transmission Co.","80","socks5","502","82","2023-09-30T02:00:30.237Z","94","3824","4072"
"111.53.178.249","elite","AS56042","CN","China Mobile communications corporation","311","China Mobile","7302","socks5","5096","1","2023-09-30T02:00:30.234Z","84","3398","4063"
"185.208.172.27","elite","AS202269","DE","BitCommand","18","BitCommand LLC","10204","socks4","2398","1","2023-09-30T02:00:30.248Z","47","1916","4076"
"118.174.209.124","elite","AS23969","TH","TOT Public Company Limited","192","TOT Public Company Limited","4145","socks4","4704","1","2023-09-30T02:00:30.236Z","50","2042","4055"
"116.206.61.179","elite","AS59316","BD","aamra Outsourcing Ltd.","288","aamra Outsourcing Ltd","5678","socks4","5000","1","2023-09-30T02:00:30.148Z","95","3910","4116"
"186.251.255.113","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","284","Seanet Telecom Carazinho Eireli","31337","socks4","4299","1","2023-09-30T02:00:30.150Z","100","4013","4033"
"45.233.3.1","elite","AS267303","BR","Centro Oeste Provedor","214","Centro Oeste Provedor","4153","socks4","4806","1","2023-09-30T02:00:30.235Z","99","4116","4155"
"213.5.17.84","elite","AS44724","RU","USSURIYSK-OCTOPUSNET","193","Octopusnet LTD","1080","socks5","5198","82","2023-09-30T02:00:26.243Z","92","3784","4105"
"173.212.250.16","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","37712","socks4","207","1","2023-09-30T02:00:26.339Z","100","3980","3980"
"196.43.97.114","elite","AS37183","ZW","AfOL-Zw","194","N/A","5678","socks4","5194","1","2023-09-30T02:00:26.239Z","98","4046","4146"
"103.124.136.138","elite","AS138089","ID","Global Media Data Prima","298","N/A","3125","socks5","81","2","2023-09-30T02:00:26.238Z","87","3518","4029"
"175.106.10.226","elite","AS46023","ID","Quantum Dist POP GC","197","N/A","43579","socks4","5010","1","2023-09-30T02:00:22.742Z","73","2933","4030"
"116.118.98.9","elite","AS7602","VN","SPT","294","N/A","5678","socks4","5103","1","2023-09-30T02:00:22.745Z","95","3936","4127"
"198.98.61.133","elite","AS53667","US","FranTech Solutions","99","FranTech Solutions","30900","socks4","4795","1","2023-09-30T02:00:22.744Z","100","4134","4140"
"31.170.19.5","elite","AS42099","LV","DNET ITRisinajumi Ltd.","89","Sia Nano IT","4153","socks4","5087","1","2023-09-30T02:00:22.746Z","100","4103","4111"
"217.12.201.56","elite","AS21100","NL","ITL LLC","95","Green Floid LLC","11337","socks5","5003","1","2023-09-30T02:00:22.836Z","100","4157","4165"
